iteration=1
BOM, disk_mb=56396800.00, hitrate=73.58, cost=1782.61, perf_penalty=14720.58, p50=34.1500, p95=159.4000, cost_gradient=34.1565, perf_gradient=-5992.6071, overall_gradient=-5958.4505
PNQ, disk_mb=21653760.00, hitrate=62.69, cost=724.46, perf_penalty=4595.13, p50=33.5100, p95=153.3100, cost_gradient=13.7302, perf_gradient=-419.4362, overall_gradient=-405.7059
OSA, disk_mb=19103040.00, hitrate=62.10, cost=861.19, perf_penalty=1391.06, p50=25.0100, p95=115.8500, cost_gradient=32.9802, perf_gradient=-1579.2407, overall_gradient=-1546.2605
TYO, disk_mb=31207040.00, hitrate=61.68, cost=2055.36, perf_penalty=5861.39, p50=27.3300, p95=122.0700, cost_gradient=29.1241, perf_gradient=-1208.5421, overall_gradient=-1179.4181
MMJ, disk_mb=34240.00, hitrate=0.00, cost=0.35, perf_penalty=1025.43, p50=32.0300, p95=120.1700, cost_gradient=50.9006, perf_gradient=0.0000, overall_gradient=50.9006
OIT, disk_mb=0.00, hitrate=0.00, cost=0.00, perf_penalty=0.00, p50=0.0000, p95=0.0000, cost_gradient=50.9006, perf_gradient=0.0000, overall_gradient=50.9006
SEL, disk_mb=218572800.00, hitrate=78.50, cost=7517.92, perf_penalty=291435.61, p50=47.1800, p95=140.7300, cost_gradient=0.0000, perf_gradient=0.0000, overall_gradient=0.0000
KUL, disk_mb=28466880.00, hitrate=96.28, cost=899.15, perf_penalty=14940.17, p50=31.4800, p95=135.3900, cost_gradient=9.7762, perf_gradient=-359.0885, overall_gradient=-349.3123
AKL, disk_mb=127388800.00, hitrate=85.08, cost=7355.57, perf_penalty=15112.86, p50=28.4600, p95=116.8200, cost_gradient=40.5329, perf_gradient=-194.6320, overall_gradient=-154.0991
CHC, disk_mb=52042880.00, hitrate=77.59, cost=1699.94, perf_penalty=536.65, p50=25.8400, p95=107.9700, cost_gradient=4.5830, perf_gradient=-204.3400, overall_gradient=-199.7569
WLG, disk_mb=59511040.00, hitrate=78.69, cost=1853.58, perf_penalty=3723.44, p50=29.1200, p95=117.9500, cost_gradient=7.6812, perf_gradient=-491.7599, overall_gradient=-484.0787
MNL, disk_mb=50881920.00, hitrate=95.38, cost=1738.85, perf_penalty=33331.59, p50=31.2700, p95=167.5700, cost_gradient=6.2736, perf_gradient=-742.6215, overall_gradient=-736.3479
KHI, disk_mb=1134039040.00, hitrate=89.90, cost=36302.89, perf_penalty=2812702.17, p50=56.2800, p95=257.8400, cost_gradient=0.0000, perf_gradient=0.0000, overall_gradient=0.0000
SIN, disk_mb=5932480.00, hitrate=85.04, cost=393.30, perf_penalty=0.00, p50=6.4600, p95=84.7000, cost_gradient=47.4191, perf_gradient=0.0000, overall_gradient=47.4191
BKK, disk_mb=60381440.00, hitrate=93.17, cost=2608.26, perf_penalty=23349.42, p50=31.1300, p95=124.9700, cost_gradient=29.5453, perf_gradient=-525.6406, overall_gradient=-496.0953
TPE, disk_mb=27033280.00, hitrate=83.89, cost=1082.39, perf_penalty=2310.86, p50=29.5300, p95=123.0300, cost_gradient=28.0132, perf_gradient=-390.7386, overall_gradient=-362.7254
BDO, disk_mb=17209920.00, hitrate=94.38, cost=379.29, perf_penalty=16172.83, p50=29.1300, p95=154.0500, cost_gradient=4.2216, perf_gradient=-104.4614, overall_gradient=-100.2398
CBR, disk_mb=0.00, hitrate=0.00, cost=0.00, perf_penalty=0.00, p50=0.0000, p95=0.0000, cost_gradient=76.3510, perf_gradient=0.0000, overall_gradient=76.3510
JOG, disk_mb=21845120.00, hitrate=95.39, cost=436.32, perf_penalty=27587.57, p50=32.2400, p95=158.8900, cost_gradient=11.7913, perf_gradient=-199.4526, overall_gradient=-187.6613
BTH, disk_mb=20845120.00, hitrate=95.21, cost=415.10, perf_penalty=2938.75, p50=22.1700, p95=155.0400, cost_gradient=15.1859, perf_gradient=-17.0311, overall_gradient=-1.8452
SUB, disk_mb=39976640.00, hitrate=97.14, cost=1496.48, perf_penalty=66798.03, p50=33.8200, p95=159.6800, cost_gradient=3.2455, perf_gradient=-374.8516, overall_gradient=-371.6062
TXG, disk_mb=0.00, hitrate=0.00, cost=0.00, perf_penalty=0.00, p50=0.0000, p95=0.0000, cost_gradient=50.9006, perf_gradient=0.0000, overall_gradient=50.9006
NGO, disk_mb=17575360.00, hitrate=61.24, cost=745.15, perf_penalty=0.00, p50=19.1300, p95=100.7800, cost_gradient=10.0120, perf_gradient=0.0000, overall_gradient=10.0120
KMQ, disk_mb=0.00, hitrate=0.00, cost=0.00, perf_penalty=0.00, p50=0.0000, p95=0.0000, cost_gradient=50.9006, perf_gradient=0.0000, overall_gradient=50.9006
PNH, disk_mb=0.00, hitrate=0.00, cost=0.00, perf_penalty=0.00, p50=0.0000, p95=0.0000, cost_gradient=50.9006, perf_gradient=0.0000, overall_gradient=50.9006
RGN, disk_mb=58659520.00, hitrate=93.10, cost=676.30, perf_penalty=17658.21, p50=55.0900, p95=250.1100, cost_gradient=11.4944, perf_gradient=-6300.6555, overall_gradient=-6289.1610
NYT, disk_mb=0.00, hitrate=0.00, cost=0.00, perf_penalty=0.00, p50=0.0000, p95=0.0000, cost_gradient=50.9006, perf_gradient=0.0000, overall_gradient=50.9006
MDL, disk_mb=0.00, hitrate=16.90, cost=0.00, perf_penalty=0.00, p50=0.0000, p95=0.0000, cost_gradient=50.9006, perf_gradient=0.0000, overall_gradient=50.9006
VTE, disk_mb=0.00, hitrate=0.00, cost=0.00, perf_penalty=0.00, p50=0.0000, p95=0.0000, cost_gradient=50.9006, perf_gradient=0.0000, overall_gradient=50.9006
JAI, disk_mb=26247040.00, hitrate=71.04, cost=521.02, perf_penalty=9922.10, p50=51.3700, p95=172.9200, cost_gradient=10.2631, perf_gradient=-1669.8340, overall_gradient=-1659.5709
LHE, disk_mb=793262080.00, hitrate=92.10, cost=21781.10, perf_penalty=3121734.53, p50=56.9900, p95=258.9900, cost_gradient=0.0000, perf_gradient=0.0000, overall_gradient=0.0000
UPG, disk_mb=41976640.00, hitrate=97.24, cost=772.73, perf_penalty=58389.47, p50=38.5500, p95=173.4800, cost_gradient=21.4086, perf_gradient=-627.2780, overall_gradient=-605.8694
ISB, disk_mb=793262080.00, hitrate=92.10, cost=16617.15, perf_penalty=3125372.46, p50=63.9700, p95=270.2500, cost_gradient=0.0000, perf_gradient=0.0000, overall_gradient=0.0000
SGN, disk_mb=10540480.00, hitrate=85.30, cost=397.84, perf_penalty=12.05, p50=23.7200, p95=105.4400, cost_gradient=9.6283, perf_gradient=0.0000, overall_gradient=9.6283
HAN, disk_mb=29033280.00, hitrate=84.16, cost=1002.81, perf_penalty=3119.66, p50=30.4200, p95=127.5100, cost_gradient=35.2618, perf_gradient=-573.4276, overall_gradient=-538.1658
CJJ, disk_mb=0.00, hitrate=0.00, cost=0.00, perf_penalty=2929.18, p50=31.2400, p95=115.2200, cost_gradient=50.9006, perf_gradient=0.0000, overall_gradient=50.9006
WNZ, disk_mb=0.00, hitrate=0.00, cost=0.00, perf_penalty=0.00, p50=0.0000, p95=0.0000, cost_gradient=50.9006, perf_gradient=0.0000, overall_gradient=50.9006
IDR, disk_mb=37459520.00, hitrate=69.15, cost=868.94, perf_penalty=38350.57, p50=64.7600, p95=194.4700, cost_gradient=10.1409, perf_gradient=-2093.2755, overall_gradient=-2083.1345
NAG, disk_mb=0.00, hitrate=0.00, cost=0.00, perf_penalty=0.00, p50=0.0000, p95=0.0000, cost_gradient=50.9006, perf_gradient=0.0000, overall_gradient=50.9006
YIW, disk_mb=0.00, hitrate=0.00, cost=0.00, perf_penalty=0.00, p50=0.0000, p95=0.0000, cost_gradient=50.9006, perf_gradient=0.0000, overall_gradient=50.9006
VGA, disk_mb=0.00, hitrate=0.00, cost=0.00, perf_penalty=0.00, p50=0.0000, p95=0.0000, cost_gradient=50.9006, perf_gradient=0.0000, overall_gradient=50.9006
LKO, disk_mb=47077440.00, hitrate=76.98, cost=883.39, perf_penalty=33491.44, p50=59.8400, p95=197.2700, cost_gradient=7.3949, perf_gradient=-3137.1102, overall_gradient=-3129.7153
BDJ, disk_mb=26466880.00, hitrate=96.10, cost=534.35, perf_penalty=2663.54, p50=23.4700, p95=133.3000, cost_gradient=14.6896, perf_gradient=-25.4119, overall_gradient=-10.7223
CJB, disk_mb=35214400.00, hitrate=71.88, cost=976.25, perf_penalty=17393.69, p50=46.5800, p95=166.4400, cost_gradient=6.9757, perf_gradient=-1048.3897, overall_gradient=-1041.4141
VTZ, disk_mb=0.00, hitrate=0.00, cost=0.00, perf_penalty=0.00, p50=0.0000, p95=0.0000, cost_gradient=50.9006, perf_gradient=0.0000, overall_gradient=50.9006
