disk_tb,hitrate_pct,p50_ms,p95_ms
146.0,72.9904,54.7800,187.2900
147.0,73.0222,54.7400,187.2500
148.0,73.0739,54.6800,187.1800
149.0,73.1257,54.6200,187.1200
150.0,73.1769,54.5600,187.0500
151.0,73.2287,54.5000,186.9800
152.0,73.2805,54.4400,186.9200
153.0,73.2995,54.4100,186.8900
154.0,73.2996,54.4100,186.8900
155.0,73.2997,54.4100,186.8900
156.0,73.2997,54.4100,186.8900
157.0,73.2998,54.4100,186.8900
158.0,73.2999,54.4100,186.8900
159.0,73.3000,54.4100,186.8900
160.0,73.5111,54.1700,186.6200
161.0,73.5329,54.1400,186.6000
162.0,73.5544,54.1100,186.5700
163.0,73.5762,54.0900,186.5400
164.0,73.5980,54.0600,186.5100
165.0,73.6910,53.9600,186.3900
166.0,73.7579,53.8800,186.3100
167.0,73.8297,53.8000,186.2100
168.0,73.9182,53.6900,186.1000
169.0,74.0952,53.4900,185.8700
170.0,74.4602,53.0800,185.4000
171.0,74.5532,52.9700,185.2800
172.0,74.7305,52.7700,185.0400
173.0,74.7954,52.7000,184.9600
174.0,74.8289,52.6600,184.9100
175.0,74.8605,52.6300,184.8700
176.0,74.8916,52.5900,184.8300
177.0,74.8998,52.5900,184.8200
178.0,74.9000,52.5900,184.8200
179.0,74.9916,52.4800,184.7000
180.0,74.9941,52.4800,184.7000
181.0,74.9965,52.4800,184.6900
182.0,74.9990,52.4800,184.6900
183.0,75.1858,52.2700,184.4500
184.0,75.1912,52.2600,184.4400
185.0,75.1965,52.2600,184.4300
186.0,75.2116,52.2400,184.4100
187.0,75.2460,52.2000,184.3700
188.0,75.2801,52.1600,184.3200
189.0,75.3146,52.1300,184.2800
190.0,75.3490,52.0900,184.2300
191.0,75.3831,52.0500,184.1900
192.0,75.3997,52.0300,184.1600
193.0,75.3998,52.0300,184.1600
194.0,75.3999,52.0300,184.1600
195.0,75.4000,52.0300,184.1600
196.0,75.6795,51.7300,183.7900
197.0,75.6912,51.7200,183.7800
198.0,75.7962,51.6100,183.6400
199.0,75.8124,51.5900,183.6200
200.0,75.8524,51.5500,183.5600
201.0,75.8928,51.5000,183.5100
202.0,75.9332,51.4600,183.4500
203.0,75.9732,51.4200,183.4000
204.0,75.9996,51.3900,183.3700
205.0,75.9996,51.3900,183.3600
206.0,75.9997,51.3900,183.3600
207.0,75.9997,51.3900,183.3600
208.0,75.9997,51.3900,183.3600
209.0,75.9998,51.3900,183.3600
210.0,75.9998,51.3900,183.3600
211.0,75.9998,51.3900,183.3600
212.0,75.9999,51.3900,183.3600
213.0,75.9999,51.3900,183.3600
214.0,75.9999,51.3900,183.3600
215.0,76.0000,51.3900,183.3600
216.0,76.2762,51.0900,182.9900
217.0,76.2970,51.0700,182.9600
218.0,76.3971,50.9700,182.8300
219.0,76.3974,50.9700,182.8300
220.0,76.3977,50.9700,182.8300
221.0,76.3981,50.9700,182.8300
222.0,76.3984,50.9700,182.8300
223.0,76.3987,50.9700,182.8300
224.0,76.3991,50.9700,182.8300
225.0,76.3994,50.9700,182.8200
226.0,76.3997,50.9600,182.8200
227.0,76.5893,50.7800,182.5700
228.0,76.5993,50.7700,182.5500
229.0,76.6816,50.6800,182.4400
230.0,76.6834,50.6800,182.4400
231.0,76.6852,50.6800,182.4400
232.0,76.6870,50.6800,182.4300
233.0,76.6888,50.6800,182.4300
234.0,76.6906,50.6800,182.4300
235.0,76.6924,50.6700,182.4300
236.0,76.6942,50.6700,182.4300
237.0,76.6960,50.6700,182.4200
238.0,76.6978,50.6700,182.4200
239.0,76.6996,50.6700,182.4200
240.0,76.7143,50.6500,182.4000
241.0,76.7330,50.6300,182.3700
242.0,76.7518,50.6200,182.3500
243.0,76.7703,50.6000,182.3200
244.0,76.7890,50.5800,182.3000
245.0,76.8077,50.5600,182.2700
246.0,76.8263,50.5400,182.2400
247.0,76.8450,50.5200,182.2200
248.0,76.8637,50.5000,182.1900
249.0,76.8822,50.4900,182.1700
250.0,76.9093,50.4600,182.1300
251.0,76.9987,50.3700,182.0100
252.0,76.9998,50.3700,182.0000
253.0,77.1395,50.2300,181.8100
254.0,77.1468,50.2200,181.8000
255.0,77.1540,50.2200,181.7900
256.0,77.1614,50.2100,181.7800
257.0,77.1687,50.2000,181.7700
258.0,77.1759,50.2000,181.7600
259.0,77.1833,50.1900,181.7500
260.0,77.1906,50.1800,181.7400
261.0,77.1978,50.1700,181.7300
262.0,77.3576,50.0200,181.5100
263.0,77.3688,50.0100,181.5000
264.0,77.3799,50.0000,181.4800
265.0,77.3911,49.9900,181.4700
266.0,77.5606,49.8300,181.2300
267.0,77.7005,49.7100,181.0300
268.0,77.7452,49.6700,180.9700
269.0,77.7900,49.6300,180.9100
270.0,77.8342,49.5900,180.8500
271.0,77.8790,49.5500,180.7800
272.0,77.9905,49.4500,180.6300
273.0,77.9915,49.4500,180.6300
274.0,77.9926,49.4500,180.6200
275.0,77.9937,49.4500,180.6200
276.0,77.9948,49.4500,180.6200
277.0,77.9958,49.4500,180.6200
278.0,77.9969,49.4500,180.6200
279.0,77.9980,49.4500,180.6200
280.0,77.9991,49.4500,180.6100
281.0,78.0530,49.4000,180.5400
282.0,78.0829,49.3700,180.5000
283.0,78.1925,49.2800,180.3400
284.0,78.1929,49.2800,180.3400
285.0,78.1934,49.2800,180.3400
286.0,78.1939,49.2700,180.3400
287.0,78.1944,49.2700,180.3400
288.0,78.1949,49.2700,180.3400
289.0,78.1954,49.2700,180.3400
290.0,78.1959,49.2700,180.3400
291.0,78.1964,49.2700,180.3400
292.0,78.1969,49.2700,180.3400
293.0,78.1974,49.2700,180.3300
294.0,78.1979,49.2700,180.3300
295.0,78.1984,49.2700,180.3300
296.0,78.1989,49.2700,180.3300
297.0,78.1994,49.2700,180.3300
298.0,78.1999,49.2700,180.3300
299.0,78.4955,49.0100,179.9100
300.0,78.4958,49.0100,179.9100
301.0,78.4962,49.0100,179.9100
302.0,78.4965,49.0100,179.9100
303.0,78.4968,49.0100,179.9100
304.0,78.4972,49.0100,179.9100
305.0,78.4975,49.0100,179.9100
306.0,78.4979,49.0100,179.9100
307.0,78.4982,49.0100,179.9100
308.0,78.4986,49.0100,179.9100
309.0,78.4989,49.0100,179.9100
310.0,78.4993,49.0100,179.9000
311.0,78.4996,49.0100,179.9000
312.0,78.5000,49.0100,179.9000
313.0,78.7933,48.7500,179.4900
314.0,78.7937,48.7500,179.4900
315.0,78.7941,48.7500,179.4900
316.0,78.7944,48.7500,179.4900
317.0,78.7948,48.7500,179.4800
318.0,78.7952,48.7500,179.4800
319.0,78.7955,48.7500,179.4800
320.0,78.7959,48.7500,179.4800
321.0,78.7963,48.7500,179.4800
322.0,78.7967,48.7500,179.4800
323.0,78.7970,48.7500,179.4800
324.0,78.7974,48.7500,179.4800
325.0,78.7978,48.7500,179.4800
326.0,78.7981,48.7500,179.4800
327.0,78.7985,48.7500,179.4800
328.0,78.7989,48.7500,179.4800
329.0,78.7992,48.7500,179.4800
330.0,78.7996,48.7500,179.4800
331.0,78.8000,48.7500,179.4800
