iteration=1
PVD, disk_mb=0.00, hitrate=11.30, cost=0.00, perf_penalty=755.20, p50=27.5690, p95=111.3870, cost_gradient=50.9006, perf_gradient=0.0000, overall_gradient=50.9006
RDU, disk_mb=0.00, hitrate=17.50, cost=0.00, perf_penalty=52252.01, p50=38.4990, p95=121.1840, cost_gradient=50.9006, perf_gradient=0.0000, overall_gradient=50.9006
ROC, disk_mb=0.00, hitrate=8.60, cost=0.00, perf_penalty=15454.26, p50=41.9550, p95=131.8510, cost_gradient=50.9006, perf_gradient=0.0000, overall_gradient=50.9006
SAC, disk_mb=27813760.00, hitrate=57.47, cost=986.25, perf_penalty=23556.49, p50=36.4590, p95=126.7700, cost_gradient=13.0438, perf_gradient=-2317.2549, overall_gradient=-2304.2111
STL, disk_mb=0.00, hitrate=20.00, cost=0.00, perf_penalty=15716.43, p50=33.4770, p95=120.7580, cost_gradient=50.9006, perf_gradient=0.0000, overall_gradient=50.9006
SLC, disk_mb=0.00, hitrate=11.60, cost=0.00, perf_penalty=112549.58, p50=47.4920, p95=141.5220, cost_gradient=50.9006, perf_gradient=0.0000, overall_gradient=50.9006
SAT, disk_mb=0.00, hitrate=23.30, cost=0.00, perf_penalty=26747.96, p50=35.6080, p95=121.3540, cost_gradient=50.9006, perf_gradient=0.0000, overall_gradient=50.9006
SAN, disk_mb=25848640.00, hitrate=57.54, cost=949.03, perf_penalty=23923.90, p50=34.6400, p95=121.3020, cost_gradient=9.8166, perf_gradient=-798.7541, overall_gradient=-788.9375
SJC, disk_mb=64139840.00, hitrate=72.17, cost=2936.48, perf_penalty=17094.34, p50=28.6220, p95=125.0910, cost_gradient=13.6705, perf_gradient=-5500.2735, overall_gradient=-5486.6030
SJU, disk_mb=47758080.00, hitrate=56.34, cost=1402.87, perf_penalty=37412.78, p50=48.9530, p95=160.8530, cost_gradient=15.2411, perf_gradient=-1936.2025, overall_gradient=-1920.9614
SEA, disk_mb=80159040.00, hitrate=71.62, cost=2908.85, perf_penalty=18333.99, p50=30.9660, p95=122.4610, cost_gradient=19.9170, perf_gradient=-10193.3029, overall_gradient=-10173.3859
SYR, disk_mb=0.00, hitrate=9.50, cost=0.00, perf_penalty=28683.48, p50=44.6790, p95=135.6840, cost_gradient=50.9006, perf_gradient=0.0000, overall_gradient=50.9006
TPA, disk_mb=0.00, hitrate=10.40, cost=0.00, perf_penalty=13209.92, p50=32.3800, p95=121.4230, cost_gradient=76.3510, perf_gradient=0.0000, overall_gradient=76.3510
IAD, disk_mb=56784320.00, hitrate=69.64, cost=4371.29, perf_penalty=0.00, p50=12.5280, p95=88.3400, cost_gradient=3.3567, perf_gradient=0.0000, overall_gradient=3.3567
HVN, disk_mb=0.00, hitrate=11.30, cost=0.00, perf_penalty=60.43, p50=22.2110, p95=107.3610, cost_gradient=50.9006, perf_gradient=0.0000, overall_gradient=50.9006
OMA, disk_mb=30422400.00, hitrate=62.41, cost=938.18, perf_penalty=8980.88, p50=32.3440, p95=119.0110, cost_gradient=2.8865, perf_gradient=-854.4494, overall_gradient=-851.5629
RIC, disk_mb=22513600.00, hitrate=54.60, cost=733.31, perf_penalty=21263.86, p50=35.3270, p95=119.3770, cost_gradient=4.8168, perf_gradient=-1097.7485, overall_gradient=-1092.9317
TUS, disk_mb=0.00, hitrate=13.80, cost=0.00, perf_penalty=0.00, p50=0.0000, p95=0.0000, cost_gradient=50.9006, perf_gradient=0.0000, overall_gradient=50.9006
JAX, disk_mb=0.00, hitrate=18.30, cost=0.00, perf_penalty=20564.53, p50=34.4610, p95=125.3580, cost_gradient=50.9006, perf_gradient=0.0000, overall_gradient=50.9006
BNA, disk_mb=0.00, hitrate=18.30, cost=0.00, perf_penalty=26079.60, p50=35.4330, p95=122.9780, cost_gradient=76.3510, perf_gradient=0.0000, overall_gradient=76.3510
BDL, disk_mb=0.00, hitrate=11.30, cost=0.00, perf_penalty=6079.37, p50=36.6800, p95=122.2580, cost_gradient=50.9006, perf_gradient=0.0000, overall_gradient=50.9006
ANC, disk_mb=0.00, hitrate=12.30, cost=0.00, perf_penalty=0.00, p50=0.0000, p95=0.0000, cost_gradient=50.9006, perf_gradient=0.0000, overall_gradient=50.9006
MSN, disk_mb=0.00, hitrate=20.00, cost=0.00, perf_penalty=8623.45, p50=33.7460, p95=114.1810, cost_gradient=76.3510, perf_gradient=0.0000, overall_gradient=76.3510
ALB, disk_mb=0.00, hitrate=11.30, cost=0.00, perf_penalty=8977.39, p50=34.0840, p95=120.7350, cost_gradient=50.9006, perf_gradient=0.0000, overall_gradient=50.9006
JAN, disk_mb=0.00, hitrate=18.30, cost=0.00, perf_penalty=26716.28, p50=42.6830, p95=137.2580, cost_gradient=50.9006, perf_gradient=0.0000, overall_gradient=50.9006
LEX, disk_mb=0.00, hitrate=8.60, cost=0.00, perf_penalty=18522.52, p50=39.1620, p95=128.9790, cost_gradient=50.9006, perf_gradient=0.0000, overall_gradient=50.9006
OKC, disk_mb=0.00, hitrate=23.30, cost=0.00, perf_penalty=16682.06, p50=32.1060, p95=121.8380, cost_gradient=50.9006, perf_gradient=0.0000, overall_gradient=50.9006
FSD, disk_mb=18008000.00, hitrate=54.20, cost=567.89, perf_penalty=8997.95, p50=36.8380, p95=118.4830, cost_gradient=5.3261, perf_gradient=-1138.6924, overall_gradient=-1133.3663

iteration=2
ABQ, disk_mb=0.00, hitrate=11.60, cost=0.00, perf_penalty=34198.69, p50=46.0380, p95=138.9530, cost_gradient=50.9006, perf_gradient=0.0000, overall_gradient=50.9006
ATL, disk_mb=107384640.00, hitrate=78.77, cost=5404.95, perf_penalty=18182.05, p50=28.5050, p95=116.4790, cost_gradient=-33.1273, perf_gradient=-1667.8324, overall_gradient=-1700.9597
AUS, disk_mb=0.00, hitrate=23.30, cost=0.00, perf_penalty=12652.66, p50=34.1360, p95=115.2640, cost_gradient=50.9006, perf_gradient=0.0000, overall_gradient=50.9006
BWI, disk_mb=0.00, hitrate=17.50, cost=0.00, perf_penalty=12636.41, p50=35.3370, p95=116.1970, cost_gradient=50.9006, perf_gradient=0.0000, overall_gradient=50.9006
BOS, disk_mb=49416320.00, hitrate=67.00, cost=1673.17, perf_penalty=9194.50, p50=28.7120, p95=114.8600, cost_gradient=20.7401, perf_gradient=-1159.8594, overall_gradient=-1139.1193
BUF, disk_mb=0.00, hitrate=8.60, cost=0.00, perf_penalty=13424.34, p50=42.1420, p95=131.1030, cost_gradient=50.9006, perf_gradient=0.0000, overall_gradient=50.9006
CLT, disk_mb=0.00, hitrate=18.30, cost=0.00, perf_penalty=57089.45, p50=35.5220, p95=119.4010, cost_gradient=76.3510, perf_gradient=0.0000, overall_gradient=76.3510
ORD, disk_mb=80825600.00, hitrate=76.90, cost=4686.99, perf_penalty=15353.74, p50=28.3360, p95=114.0200, cost_gradient=-9.6269, perf_gradient=-1383.3887, overall_gradient=-1393.0156
CVG, disk_mb=33923520.00, hitrate=64.11, cost=767.49, perf_penalty=21903.80, p50=37.0550, p95=118.1820, cost_gradient=18.6559, perf_gradient=-793.2375, overall_gradient=-774.5816
CLE, disk_mb=75478400.00, hitrate=79.30, cost=2559.51, perf_penalty=3511.83, p50=29.6490, p95=103.9380, cost_gradient=-12.9006, perf_gradient=-405.1249, overall_gradient=-418.0254
CMH, disk_mb=0.00, hitrate=8.60, cost=0.00, perf_penalty=35706.14, p50=39.9460, p95=123.6410, cost_gradient=50.9006, perf_gradient=0.0000, overall_gradient=50.9006
DFW, disk_mb=70638720.00, hitrate=74.20, cost=4474.65, perf_penalty=5258.71, p50=24.0370, p95=114.3850, cost_gradient=69.0970, perf_gradient=-138.5885, overall_gradient=-69.4915
DEN, disk_mb=42207040.00, hitrate=66.49, cost=1319.05, perf_penalty=16733.74, p50=31.5040, p95=118.1240, cost_gradient=14.5496, perf_gradient=-1252.8730, overall_gradient=-1238.3234
DET, disk_mb=82478400.00, hitrate=80.54, cost=1824.96, perf_penalty=32501.55, p50=34.3270, p95=118.5200, cost_gradient=0.7041, perf_gradient=-850.3177, overall_gradient=-849.6136
HNL, disk_mb=127968320.00, hitrate=84.53, cost=1533.17, perf_penalty=4522.86, p50=31.3910, p95=166.0000, cost_gradient=33.4515, perf_gradient=-6622.5853, overall_gradient=-6589.1338
IAH, disk_mb=159668480.00, hitrate=87.64, cost=4399.87, perf_penalty=983.91, p50=25.6310, p95=106.0890, cost_gradient=-2.9551, perf_gradient=-150.7220, overall_gradient=-153.6771
IND, disk_mb=0.00, hitrate=20.00, cost=0.00, perf_penalty=18989.45, p50=35.2090, p95=118.2310, cost_gradient=50.9006, perf_gradient=0.0000, overall_gradient=50.9006
MCI, disk_mb=40422400.00, hitrate=66.60, cost=938.90, perf_penalty=65685.59, p50=42.1840, p95=134.5000, cost_gradient=28.2005, perf_gradient=-714.7056, overall_gradient=-686.5052
LAS, disk_mb=48689920.00, hitrate=66.97, cost=1350.71, perf_penalty=14879.93, p50=32.9550, p95=132.7650, cost_gradient=12.9071, perf_gradient=-774.9279, overall_gradient=-762.0208
LAX, disk_mb=77516160.00, hitrate=74.25, cost=3861.58, perf_penalty=18111.40, p50=27.9610, p95=117.6810, cost_gradient=9.9851, perf_gradient=-2326.2623, overall_gradient=-2316.2771
SDF, disk_mb=0.00, hitrate=20.00, cost=0.00, perf_penalty=28380.16, p50=43.3350, p95=129.0960, cost_gradient=50.9006, perf_gradient=0.0000, overall_gradient=50.9006
MEM, disk_mb=0.00, hitrate=18.30, cost=0.00, perf_penalty=56177.72, p50=43.9030, p95=132.8150, cost_gradient=50.9006, perf_gradient=0.0000, overall_gradient=50.9006
