iteration=1
PVD, disk_mb=0.00, hitrate=11.30, cost=0.00, perf_penalty=5588.84, p50=27.7290, p95=111.7050, cost_gradient=40.4375, perf_gradient=0.0000, overall_gradient=40.4375
RDU, disk_mb=0.00, hitrate=17.50, cost=0.00, perf_penalty=30496.72, p50=38.1490, p95=120.0950, cost_gradient=40.4375, perf_gradient=0.0000, overall_gradient=40.4375
ROC, disk_mb=0.00, hitrate=8.60, cost=0.00, perf_penalty=48883.05, p50=41.8640, p95=131.5960, cost_gradient=40.4375, perf_gradient=0.0000, overall_gradient=40.4375
SAC, disk_mb=21773120.00, hitrate=54.14, cost=851.29, perf_penalty=37402.35, p50=38.7440, p95=130.2300, cost_gradient=7.6123, perf_gradient=-1670.3656, overall_gradient=-1662.7533
STL, disk_mb=0.00, hitrate=20.00, cost=0.00, perf_penalty=18934.20, p50=33.5020, p95=120.8100, cost_gradient=40.4375, perf_gradient=0.0000, overall_gradient=40.4375
SLC, disk_mb=0.00, hitrate=11.60, cost=0.00, perf_penalty=91909.30, p50=49.8050, p95=145.1170, cost_gradient=40.4375, perf_gradient=0.0000, overall_gradient=40.4375
SAT, disk_mb=0.00, hitrate=23.30, cost=0.00, perf_penalty=23139.69, p50=35.3520, p95=120.7650, cost_gradient=40.4375, perf_gradient=0.0000, overall_gradient=40.4375
SAN, disk_mb=32719680.00, hitrate=61.41, cost=869.15, perf_penalty=22151.65, p50=34.7540, p95=121.6720, cost_gradient=2.6825, perf_gradient=-492.4583, overall_gradient=-489.7758
SJC, disk_mb=36139840.00, hitrate=62.42, cost=2239.86, perf_penalty=19131.80, p50=31.3620, p95=129.2790, cost_gradient=3.7361, perf_gradient=-1861.4200, overall_gradient=-1857.6839
SJU, disk_mb=47465280.00, hitrate=56.22, cost=1275.26, perf_penalty=95569.90, p50=49.0020, p95=160.9190, cost_gradient=15.6654, perf_gradient=-2865.3252, overall_gradient=-2849.6598
SEA, disk_mb=24159040.00, hitrate=52.51, cost=1734.53, perf_penalty=31421.14, p50=36.8570, p95=129.4390, cost_gradient=9.0903, perf_gradient=-4333.4880, overall_gradient=-4324.3977
SYR, disk_mb=0.00, hitrate=9.50, cost=0.00, perf_penalty=61828.63, p50=44.5910, p95=135.4230, cost_gradient=40.4375, perf_gradient=0.0000, overall_gradient=40.4375
TPA, disk_mb=0.00, hitrate=10.40, cost=0.00, perf_penalty=16078.24, p50=32.0580, p95=120.7470, cost_gradient=60.6562, perf_gradient=0.0000, overall_gradient=60.6562
IAD, disk_mb=68154560.00, hitrate=72.39, cost=3659.01, perf_penalty=0.00, p50=11.9160, p95=86.9910, cost_gradient=6.3755, perf_gradient=0.0000, overall_gradient=6.3755
HVN, disk_mb=0.00, hitrate=11.30, cost=0.00, perf_penalty=1051.00, p50=22.1200, p95=107.1020, cost_gradient=40.4375, perf_gradient=0.0000, overall_gradient=40.4375
OMA, disk_mb=36641600.00, hitrate=65.30, cost=859.02, perf_penalty=14665.67, p50=31.9480, p95=118.3180, cost_gradient=3.2176, perf_gradient=-901.9163, overall_gradient=-898.6987
RIC, disk_mb=26657600.00, hitrate=57.15, cost=677.02, perf_penalty=20287.72, p50=34.6710, p95=118.3330, cost_gradient=6.5346, perf_gradient=-608.5735, overall_gradient=-602.0389
TUS, disk_mb=0.00, hitrate=13.80, cost=0.00, perf_penalty=0.00, p50=0.0000, p95=0.0000, cost_gradient=40.4375, perf_gradient=0.0000, overall_gradient=40.4375
JAX, disk_mb=0.00, hitrate=18.30, cost=0.00, perf_penalty=22120.84, p50=34.1240, p95=124.4930, cost_gradient=40.4375, perf_gradient=0.0000, overall_gradient=40.4375
BNA, disk_mb=0.00, hitrate=18.30, cost=0.00, perf_penalty=23024.68, p50=35.0620, p95=121.9510, cost_gradient=60.6562, perf_gradient=0.0000, overall_gradient=60.6562
BDL, disk_mb=0.00, hitrate=11.30, cost=0.00, perf_penalty=28035.01, p50=36.8730, p95=122.5780, cost_gradient=40.4375, perf_gradient=0.0000, overall_gradient=40.4375
ANC, disk_mb=0.00, hitrate=12.30, cost=0.00, perf_penalty=0.00, p50=0.0000, p95=0.0000, cost_gradient=40.4375, perf_gradient=0.0000, overall_gradient=40.4375
MSN, disk_mb=0.00, hitrate=20.00, cost=0.00, perf_penalty=16063.27, p50=33.7230, p95=114.1300, cost_gradient=60.6562, perf_gradient=0.0000, overall_gradient=60.6562
ALB, disk_mb=0.00, hitrate=11.30, cost=0.00, perf_penalty=20108.66, p50=34.0870, p95=120.6330, cost_gradient=40.4375, perf_gradient=0.0000, overall_gradient=40.4375
JAN, disk_mb=0.00, hitrate=18.30, cost=0.00, perf_penalty=53601.81, p50=42.4360, p95=136.6520, cost_gradient=40.4375, perf_gradient=0.0000, overall_gradient=40.4375
