metro,disk_mb,hitrate,cost,p50_ms,p95_ms,perf_penalty
CKY,1320960.00,1.00,13.45,0.0000,0.0000,0.00
LFW,23439360.00,51.00,1069.11,87.9800,296.4700,9110.20
TUN,37304320.00,65.00,1488.66,59.9900,215.1200,0.00
DKR,171960320.00,74.00,6196.23,80.4700,244.5400,61647.12
,82339840.00,73.00,2859.33,168.2500,311.1700,16997782.24
MMX,3584000.00,64.00,182.84,27.6600,116.3700,1500.35
TGD,696320.00,1.00,7.09,0.0000,0.0000,0.00
JUB,696320.00,1.00,7.09,0.0000,0.0000,0.00
DUR,3778560.00,33.00,210.07,163.3300,274.2900,206256.61
PRN,696320.00,1.00,7.09,0.0000,0.0000,0.00
