iteration=1
PVD, disk_mb=0.00, hitrate=11.30, cost=0.00, perf_penalty=197.20, p50=27.6610, p95=111.5730, cost_gradient=50.9006, perf_gradient=0.0000, overall_gradient=50.9006
RDU, disk_mb=0.00, hitrate=17.50, cost=0.00, perf_penalty=13063.00, p50=38.4990, p95=121.1840, cost_gradient=50.9006, perf_gradient=0.0000, overall_gradient=50.9006
ROC, disk_mb=0.00, hitrate=8.60, cost=0.00, perf_penalty=3878.97, p50=41.9910, p95=131.9490, cost_gradient=50.9006, perf_gradient=0.0000, overall_gradient=50.9006
SAC, disk_mb=25813760.00, hitrate=56.59, cost=967.32, perf_penalty=6297.38, p50=36.9120, p95=127.5470, cost_gradient=13.0438, perf_gradient=-579.3137, overall_gradient=-566.2699
STL, disk_mb=0.00, hitrate=20.00, cost=0.00, perf_penalty=3948.70, p50=33.5020, p95=120.8100, cost_gradient=50.9006, perf_gradient=0.0000, overall_gradient=50.9006
SLC, disk_mb=0.00, hitrate=11.60, cost=0.00, perf_penalty=28966.97, p50=47.8460, p95=142.1120, cost_gradient=50.9006, perf_gradient=0.0000, overall_gradient=50.9006
SAT, disk_mb=0.00, hitrate=23.30, cost=0.00, perf_penalty=6721.15, p50=35.6360, p95=121.4750, cost_gradient=50.9006, perf_gradient=0.0000, overall_gradient=50.9006
SAN, disk_mb=24848640.00, hitrate=56.87, cost=949.72, perf_penalty=6084.65, p50=34.7380, p95=121.4520, cost_gradient=9.8166, perf_gradient=-199.6885, overall_gradient=-189.8719
SJC, disk_mb=59139840.00, hitrate=70.18, cost=2902.54, perf_penalty=4875.75, p50=29.1260, p95=126.0190, cost_gradient=13.6705, perf_gradient=-1375.0684, overall_gradient=-1361.3978
SJU, disk_mb=45758080.00, hitrate=55.47, cost=1400.79, perf_penalty=9600.89, p50=49.3010, p95=161.3330, cost_gradient=15.2411, perf_gradient=-484.0506, overall_gradient=-468.8095
SEA, disk_mb=71159040.00, hitrate=69.70, cost=2738.36, perf_penalty=5156.78, p50=31.4790, p95=123.3040, cost_gradient=19.9170, perf_gradient=-2548.3257, overall_gradient=-2528.4088
SYR, disk_mb=0.00, hitrate=9.50, cost=0.00, perf_penalty=7195.09, p50=44.7140, p95=135.7830, cost_gradient=50.9006, perf_gradient=0.0000, overall_gradient=50.9006
TPA, disk_mb=0.00, hitrate=10.40, cost=0.00, perf_penalty=3302.52, p50=32.3800, p95=121.4240, cost_gradient=76.3510, perf_gradient=0.0000, overall_gradient=76.3510
IAD, disk_mb=56784320.00, hitrate=69.64, cost=4371.29, perf_penalty=0.00, p50=12.5280, p95=88.3400, cost_gradient=3.3567, perf_gradient=0.0000, overall_gradient=3.3567
HVN, disk_mb=0.00, hitrate=11.30, cost=0.00, perf_penalty=15.74, p50=22.2470, p95=107.4600, cost_gradient=50.9006, perf_gradient=0.0000, overall_gradient=50.9006
OMA, disk_mb=29422400.00, hitrate=61.87, cost=937.03, perf_penalty=2293.81, p50=32.4420, p95=119.1760, cost_gradient=2.8865, perf_gradient=-213.6124, overall_gradient=-210.7258
RIC, disk_mb=21513600.00, hitrate=53.90, cost=730.93, perf_penalty=5361.48, p50=35.3790, p95=119.4180, cost_gradient=4.8168, perf_gradient=-274.4371, overall_gradient=-269.6203
TUS, disk_mb=0.00, hitrate=13.80, cost=0.00, perf_penalty=0.00, p50=0.0000, p95=0.0000, cost_gradient=50.9006, perf_gradient=0.0000, overall_gradient=50.9006
JAX, disk_mb=0.00, hitrate=18.30, cost=0.00, perf_penalty=5141.13, p50=34.4610, p95=125.3580, cost_gradient=50.9006, perf_gradient=0.0000, overall_gradient=50.9006
BNA, disk_mb=0.00, hitrate=18.30, cost=0.00, perf_penalty=6519.90, p50=35.4330, p95=122.9780, cost_gradient=76.3510, perf_gradient=0.0000, overall_gradient=76.3510
BDL, disk_mb=0.00, hitrate=11.30, cost=0.00, perf_penalty=1545.79, p50=36.7920, p95=122.4450, cost_gradient=50.9006, perf_gradient=0.0000, overall_gradient=50.9006
ANC, disk_mb=0.00, hitrate=12.30, cost=0.00, perf_penalty=0.00, p50=0.0000, p95=0.0000, cost_gradient=50.9006, perf_gradient=0.0000, overall_gradient=50.9006
