0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,257414,1,1,1152,49634,dscw80
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,9168079,1,0,1173,52590,dscw80
0,0,0,0,0,0,0,0,0,7,8,9,14,15,17,17,17,18,19,19,23,23,24,24,24,24,0,88136290,24,0,1151,49634,dscw80
0,0,1,1,1,3,3,3,3,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,0,33655594,5,1,1152,49634,dscw80
0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,18877,1,1,1181,53188,dscw80
0,0,1,1,1,1,2,2,2,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,0,18209954,4,1,1152,49634,dscw80
0,0,0,0,0,1,1,2,2,3,3,3,3,4,5,5,5,6,7,7,7,7,7,7,7,7,0,27431924,7,0,1152,49634,dscw80
0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,11034370,2,1,1173,49440,dscw80
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,4390350,1,0,1151,49634,dscw80
0,0,0,1,1,2,3,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,1553493,5,1,1152,49634,dscw80
0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,4527237,1,1,1152,49634,dscw80
0,0,2,3,7,8,9,10,10,14,15,15,16,16,17,17,17,17,17,17,19,20,20,20,20,20,0,25065360,20,0,1181,53188,dscw80
0,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,21026859,2,1,1181,53188,dscw80
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1245413,1,0,1173,52590,dscw80
0,0,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,0,519319,4,1,1152,49634,dscw80
0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,0,5511547,2,0,1173,52590,dscw80
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,2,2,2,2,2,2,0,11360600,2,0,1152,49634,dscw80
0,0,0,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,3995,2,1,1152,49634,dscw80
0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,67712,1,1,1152,49634,dscw80
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,64353,1,0,1181,53188,dscw80
0,0,0,0,0,1,1,3,3,3,6,7,8,9,9,10,10,12,12,12,14,16,16,17,17,17,0,83708305,17,0,1152,49634,dscw80
0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,3565,2,0,1181,53188,dscw80
0,0,0,0,0,0,1,1,2,5,8,14,20,26,33,37,39,42,51,54,74,82,90,93,94,97,1,163413595,98,0,1152,49634,dscw80
0,0,0,0,0,2,2,3,3,3,4,4,4,5,6,6,6,6,6,7,8,9,10,10,10,10,0,39447274,10,1,1152,49634,dscw80
0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1974,1,1,1152,49634,dscw80
0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,17495,1,1,1152,49634,dscw80
0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,0,5486541,3,0,1152,49634,dscw80
0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1275,1,0,1173,52590,dscw80
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,2660,1,1,1152,49634,dscw80
0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1905,1,1,1152,49634,dscw80
0,0,0,1,1,2,2,3,4,7,9,9,9,9,11,13,13,13,14,14,16,16,17,17,17,17,0,48303102,17,0,1152,49634,dscw80
0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2264,1,1,1152,49634,dscw80
0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,257762,1,1,1152,49634,dscw80
0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,5514674,2,0,1152,49634,dscw80
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,3,3,0,2898411,3,0,1151,49440,dscw80
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,5202562,2,0,1173,52590,dscw80
0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1920,1,1,1152,49634,dscw80
0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,5409990,1,0,1152,49634,dscw80
0,0,0,0,0,0,1,1,1,1,1,1,1,2,2,2,2,3,3,3,4,4,4,5,5,5,0,20160068,5,0,1152,49634,dscw80
0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2783217,1,1,1152,49634,dscw80
0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,0,516001,2,1,1181,53188,dscw80
0,0,0,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,4134,2,1,1152,49634,dscw80
0,0,0,1,3,3,3,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,7058722,5,1,1152,49634,dscw80
0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1610878,1,0,1152,49634,dscw80
0,0,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,620239,2,1,1181,53188,dscw80
0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,3,3,3,0,14969376,3,0,1151,49440,dscw80
0,0,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,259636,2,1,1152,49634,dscw80
0,0,0,0,0,0,0,2,3,5,5,7,7,7,7,7,7,7,7,7,8,8,9,9,9,9,0,1087061,9,1,1152,49634,dscw80
0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2696,1,0,1181,49634,dscw80
0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,8383280,1,1,1181,49634,dscw80
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,260103,1,0,1151,49440,dscw80
0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2152,1,1,1152,49634,dscw80
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,2367092,1,0,1173,52590,dscw80
0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2242,1,1,1152,49634,dscw80
